Timestamp,AF3 Value,AF3 Quality,AF4 Value,AF4 Quality,F3 Value,F3 Quality,F4 Value,F4 Quality,F7 Value,F7 Quality,F8 Value,F8 Quality
2017-03-09 18:13:06.106586,-4736,3487,7203,4948,7144,5201,5187,10734,-7052,5507,6486,14815
2017-03-09 18:13:06.121920,-4736,3487,7203,4948,7144,5201,5187,10734,-7052,5507,6486,14815
2017-03-09 18:13:06.133167,4301,3487,4061,4948,2699,5201,-4989,10734,-5270,5507,-4192,14815
2017-03-09 18:13:06.145827,4301,3487,4061,4948,2699,5201,-4989,10734,-5270,5507,-4192,14815
2017-03-09 18:13:06.152217,4301,3487,4061,4948,2699,5201,-4989,10734,-5270,5507,-4192,14815
2017-03-09 18:13:06.159717,4301,3487,4061,4948,2699,5201,-4989,10734,-5270,5507,-4192,14815
2017-03-09 18:13:06.172875,4301,3487,4061,4948,2699,5201,-4989,10734,-5270,5507,-4192,14815
2017-03-09 18:13:06.177868,4404,3487,-7421,4948,-7841,5201,5225,10734,-230,5507,5073,14815
2017-03-09 18:13:06.187429,4404,3487,-7421,4948,-7841,5201,5225,10734,-230,5507,5073,14815
2017-03-09 18:13:06.215268,4404,3487,-7421,4948,-7841,5201,5225,10734,-230,5507,5073,14815
2017-03-09 18:13:06.218873,4404,3487,-7421,4948,-7841,5201,5225,10734,-230,5507,5073,14815
2017-03-09 18:13:06.229709,1288,3487,-7879,4948,-6725,5201,6913,10734,3897,5507,-2446,14815
2017-03-09 18:13:06.237637,1288,3487,-7879,4948,-6725,5201,6913,10734,3897,5507,-2446,14815
2017-03-09 18:13:06.241522,1288,3487,-7879,4948,-6725,5201,6913,10734,3897,5507,-2446,14815
2017-03-09 18:13:06.255348,1288,3487,-7879,4948,-6725,5201,6913,10734,3897,5507,-2446,14815
2017-03-09 18:13:06.256286,1288,3487,-7879,4948,-6725,5201,6913,10734,3897,5507,-2446,14815
2017-03-09 18:13:06.270600,1288,3487,-7879,4948,-6725,5201,6913,10734,3897,5507,-2446,14815
2017-03-09 18:13:06.271249,895,3487,-7421,4948,-799,5201,3379,10734,-935,5507,-3101,14815
2017-03-09 18:13:06.277607,7741,3487,-1394,4948,-6602,5201,6481,10734,-3366,5507,-836,14815
2017-03-09 18:13:06.306093,7741,3487,-1394,4948,-6602,5201,6481,10734,-3366,5507,-836,14815
2017-03-09 18:13:06.326068,7741,3487,-1394,4948,-6602,5201,6481,10734,-3366,5507,-836,14815
2017-03-09 18:13:06.328587,7741,3487,-1394,4948,-6602,5201,6481,10734,-3366,5507,-836,14815
2017-03-09 18:13:06.334823,-4679,3487,-7844,4948,-2952,5201,-7925,10734,7828,5507,-7433,14815
2017-03-09 18:13:06.346681,-4679,3487,-7844,4948,-2952,5201,-7925,10734,7828,5507,-7433,14815
2017-03-09 18:13:06.358267,-4679,3487,-7844,4948,-2952,5201,-7925,10734,7828,5507,-7433,14815
2017-03-09 18:13:06.362392,-4679,3487,-7844,4948,-2952,5201,-7925,10734,7828,5507,-7433,14815
2017-03-09 18:13:06.371529,-2303,3487,7817,4948,-706,5201,-6168,10734,4850,5507,1782,14815
2017-03-09 18:13:06.379091,6270,3487,4477,4948,-7780,5201,-6837,10734,865,5507,-2367,14815
2017-03-09 18:13:06.389675,6270,3487,4477,4948,-7780,5201,-6837,10734,865,5507,-2367,14815
2017-03-09 18:13:06.393906,6270,3487,4477,4948,-7780,5201,-6837,10734,865,5507,-2367,14815
2017-03-09 18:13:06.398069,4188,3487,2612,4948,6410,5201,-445,10734,-362,5507,-7922,14815
2017-03-09 18:13:06.406504,4188,3487,2612,4948,6410,5201,-445,10734,-362,5507,-7922,14815
2017-03-09 18:13:06.414219,6966,3487,-7323,4948,-7505,5201,4832,10734,-1902,5507,-7414,14815
2017-03-09 18:13:06.425544,6966,3487,-7323,4948,-7505,5201,4832,10734,-1902,5507,-7414,14815
2017-03-09 18:13:06.426138,6966,3487,-7323,4948,-7505,5201,4832,10734,-1902,5507,-7414,14815
2017-03-09 18:13:06.442258,6966,3487,-7323,4948,-7505,5201,4832,10734,-1902,5507,-7414,14815
2017-03-09 18:13:06.442433,6966,3487,-7323,4948,-7505,5201,4832,10734,-1902,5507,-7414,14815
2017-03-09 18:13:06.483187,3099,3487,2509,4948,-6024,5201,1560,10734,-8074,5507,921,14815
2017-03-09 18:13:06.483393,3099,3487,2509,4948,-6024,5201,1560,10734,-8074,5507,921,14815
2017-03-09 18:13:06.483523,3099,3487,2509,4948,-6024,5201,1560,10734,-8074,5507,921,14815
2017-03-09 18:13:06.494859,3099,3487,2509,4948,-6024,5201,1560,10734,-8074,5507,921,14815
2017-03-09 18:13:06.494907,3099,3487,2509,4948,-6024,5201,1560,10734,-8074,5507,921,14815
2017-03-09 18:13:06.502330,-4182,3487,3690,4948,4477,5201,-4931,10734,1256,5507,4468,14815
2017-03-09 18:13:06.506048,-4182,3487,3690,4948,4477,5201,-4931,10734,1256,5507,4468,14815
2017-03-09 18:13:06.520578,-4182,3487,3690,4948,4477,5201,-4931,10734,1256,5507,4468,14815
2017-03-09 18:13:06.531460,-4182,3487,3690,4948,4477,5201,-4931,10734,1256,5507,4468,14815
2017-03-09 18:13:06.548643,-4182,3487,3690,4948,4477,5201,-4931,10734,1256,5507,4468,14815
2017-03-09 18:13:06.548840,-4182,3487,3690,4948,4477,5201,-4931,10734,1256,5507,4468,14815
2017-03-09 18:13:06.563428,-4182,3487,3690,4948,4477,5201,-4931,10734,1256,5507,4468,14815
2017-03-09 18:13:06.580278,-4182,3487,3690,4948,4477,5201,-4931,10734,1256,5507,4468,14815
2017-03-09 18:13:06.585577,-2032,3487,1539,4948,-2527,5201,5479,10734,4240,5507,2061,14815
2017-03-09 18:13:06.591493,5143,3487,-6643,4948,-1261,5201,7326,10734,-6649,5507,-5370,14815
2017-03-09 18:13:06.616889,4474,3487,-5938,4948,744,5201,-2437,10734,544,5507,5615,14815
2017-03-09 18:13:06.642318,4474,3487,-5938,4948,744,5201,-2437,10734,544,5507,5615,14815
2017-03-09 18:13:06.642469,4474,3487,-5938,4948,744,5201,-2437,10734,544,5507,5615,14815
2017-03-09 18:13:06.646902,-4587,3487,-876,4948,-7979,5201,-7721,10734,800,5507,-5941,14815
2017-03-09 18:13:06.654113,-4587,3487,-876,4948,-7979,5201,-7721,10734,800,5507,-5941,14815
2017-03-09 18:13:06.660342,-4587,3487,-876,4948,-7979,5201,-7721,10734,800,5507,-5941,14815
2017-03-09 18:13:06.668065,-4587,3487,-876,4948,-7979,5201,-7721,10734,800,5507,-5941,14815
2017-03-09 18:13:06.673296,-4587,3487,-876,4948,-7979,5201,-7721,10734,800,5507,-5941,14815
2017-03-09 18:13:06.681633,-4587,3487,-876,4948,-7979,5201,-7721,10734,800,5507,-5941,14815
2017-03-09 18:13:06.685691,-4587,3487,-876,4948,-7979,5201,-7721,10734,800,5507,-5941,14815
2017-03-09 18:13:06.705752,-4931,3487,3816,4948,-5324,5201,5306,10734,485,5507,-4623,14815
2017-03-09 18:13:06.713248,-4931,3487,3816,4948,-5324,5201,5306,10734,485,5507,-4623,14815
2017-03-09 18:13:06.730544,-4931,3487,3816,4948,-5324,5201,5306,10734,485,5507,-4623,14815
2017-03-09 18:13:06.741317,-4931,3487,3816,4948,-5324,5201,5306,10734,485,5507,-4623,14815
2017-03-09 18:13:06.758889,-4214,3487,3397,4948,-7402,5201,7442,10734,6377,5507,8034,14815
2017-03-09 18:13:06.763686,-4214,3487,3397,4948,-7402,5201,7442,10734,6377,5507,8034,14815
2017-03-09 18:13:06.774359,-1816,3487,2440,4948,5904,5201,7813,13930,-1317,5507,1381,14815
2017-03-09 18:13:06.779451,-1816,3487,2440,4948,5904,5201,7813,13930,-1317,5507,1381,14815
2017-03-09 18:13:06.794526,-1816,3487,2440,4948,5904,5201,7813,13930,-1317,5507,1381,14815
2017-03-09 18:13:06.809596,-5604,3487,3853,4948,-5121,5201,36,13930,5632,5507,-7248,14815
2017-03-09 18:13:06.819630,-5604,3487,3853,4948,-5121,5201,36,13930,5632,5507,-7248,14815
2017-03-09 18:13:06.827978,-5604,3487,3853,4948,-5121,5201,36,13930,5632,5507,-7248,14815
2017-03-09 18:13:06.834005,-5604,3487,3853,4948,-5121,5201,36,13930,5632,5507,-7248,14815
2017-03-09 18:13:06.846213,-5604,3487,3853,4948,-5121,5201,36,13930,5632,5507,-7248,14815
2017-03-09 18:13:06.860010,3774,3487,1481,14723,-2329,14719,6322,13930,1530,5507,2003,14815
2017-03-09 18:13:06.864706,3774,3487,1481,14723,-2329,14719,6322,13930,1530,5507,2003,14815
2017-03-09 18:13:06.873934,1232,3487,3928,14723,489,14719,-234,13930,-7769,5507,-6565,14815
2017-03-09 18:13:06.905522,-43,3487,1491,14723,7109,14719,-5480,13930,1811,5507,4970,14815
2017-03-09 18:13:06.929913,-43,3487,1491,14723,7109,14719,-5480,13930,1811,5507,4970,14815
2017-03-09 18:13:06.930105,-43,3487,1491,14723,7109,14719,-5480,13930,1811,5507,4970,14815
2017-03-09 18:13:06.930245,5242,3487,7385,14723,4480,14719,7870,13930,7775,5507,7654,14815
2017-03-09 18:13:06.937360,-1352,3487,4830,14723,-5551,14719,7160,13930,3806,5507,8189,14815
2017-03-09 18:13:06.948275,5877,3487,-2990,14723,-7985,14719,-2571,13930,-452,5507,60,14815
2017-03-09 18:13:06.948875,5877,3487,-2990,14723,-7985,14719,-2571,13930,-452,5507,60,14815
2017-03-09 18:13:06.961453,5877,3487,-2990,14723,-7985,14719,-2571,13930,-452,5507,60,14815
2017-03-09 18:13:06.965267,5877,3487,-2990,14723,-7985,14719,-2571,13930,-452,5507,60,14815
2017-03-09 18:13:06.972052,-612,3487,-1568,14723,-2008,14719,3852,13930,-3313,5507,-7491,14815
2017-03-09 18:13:06.977926,-612,3487,-1568,14723,-2008,14719,3852,13930,-3313,5507,-7491,14815
2017-03-09 18:13:06.985414,-612,3487,-1568,14723,-2008,14719,3852,13930,-3313,5507,-7491,14815
2017-03-09 18:13:06.993741,-612,3487,-1568,14723,-2008,14719,3852,13930,-3313,5507,-7491,14815
2017-03-09 18:13:06.997769,-612,3487,-1568,14723,-2008,14719,3852,13930,-3313,5507,-7491,14815
2017-03-09 18:13:07.009625,5123,3487,-3784,14723,6896,14719,-5339,13930,5128,5507,5396,14815
2017-03-09 18:13:07.019371,5123,3487,-3784,14723,6896,14719,-5339,13930,5128,5507,5396,14815
2017-03-09 18:13:07.019686,5123,3487,-3784,14723,6896,14719,-5339,13930,5128,5507,5396,14815
2017-03-09 18:13:07.037812,5123,3487,-3784,14723,6896,14719,-5339,13930,5128,5507,5396,14815
2017-03-09 18:13:07.046061,5123,3487,-3784,14723,6896,14719,-5339,13930,5128,5507,5396,14815
2017-03-09 18:13:07.059927,5123,3487,-3784,14723,6896,14719,-5339,13930,5128,5507,5396,14815
2017-03-09 18:13:07.067172,5123,3487,-3784,14723,6896,14719,-5339,13930,5128,5507,5396,14815
2017-03-09 18:13:07.075714,5123,3487,-3784,14723,6896,14719,-5339,13930,5128,5507,5396,14815
2017-03-09 18:13:07.088746,5123,3487,-3784,14723,6896,14719,-5339,13930,5128,5507,5396,14815
2017-03-09 18:13:07.099408,5123,3487,-3784,14723,6896,14719,-5339,13930,5128,5507,5396,14815
2017-03-09 18:13:07.107921,3781,3487,-6930,14723,807,14719,-6973,13930,-5704,5507,5292,14815
2017-03-09 18:13:07.119273,3781,3487,-6930,14723,807,14719,-6973,13930,-5704,5507,5292,14815
2017-03-09 18:13:07.131156,3781,3487,-6930,14723,807,14719,-6973,13930,-5704,5507,5292,14815
2017-03-09 18:13:07.140578,3781,3487,-6930,14723,807,14719,-6973,13930,-5704,5507,5292,14815
2017-03-09 18:13:07.158433,3781,3487,-6930,14723,807,14719,-6973,13930,-5704,5507,5292,14815
2017-03-09 18:13:07.164803,3781,3487,-6930,14723,807,14719,-6973,13930,-5704,5507,5292,14815
2017-03-09 18:13:07.177052,3781,3487,-6930,14723,807,14719,-6973,13930,-5704,5507,5292,14815
2017-03-09 18:13:07.185488,2058,3487,-6706,14723,6499,14719,-756,13930,-5710,5507,713,14815
2017-03-09 18:13:07.191257,2058,3487,-6706,14723,6499,14719,-756,13930,-5710,5507,713,14815
2017-03-09 18:13:07.194767,2058,3487,-6706,14723,6499,14719,-756,13930,-5710,5507,713,14815
2017-03-09 18:13:07.204878,2058,3487,-6706,14723,6499,14719,-756,13930,-5710,5507,713,14815
2017-03-09 18:13:07.205537,2058,3487,-6706,14723,6499,14719,-756,13930,-5710,5507,713,14815
2017-03-09 18:13:07.215345,2058,3487,-6706,14723,6499,14719,-756,13930,-5710,5507,713,14815
2017-03-09 18:13:07.227400,2058,3487,-6706,14723,6499,14719,-756,13930,-5710,5507,713,14815
2017-03-09 18:13:07.234181,2058,3487,-6706,14723,6499,14719,-756,13930,-5710,5507,713,14815
2017-03-09 18:13:07.255856,6037,3487,7096,14723,2020,14719,3623,13930,-6489,5507,2271,5818
2017-03-09 18:13:07.266056,6037,3487,7096,14723,2020,14719,3623,13930,-6489,5507,2271,5818
2017-03-09 18:13:07.278150,6037,3487,7096,14723,2020,14719,3623,13930,-6489,5507,2271,5818
2017-03-09 18:13:07.285939,4580,3487,-8189,14723,-4009,14719,-5324,13930,-7470,5507,2423,5818
2017-03-09 18:13:07.292076,4580,3487,-8189,14723,-4009,14719,-5324,13930,-7470,5507,2423,5818
2017-03-09 18:13:07.303228,4580,3487,-8189,14723,-4009,14719,-5324,13930,-7470,5507,2423,5818
2017-03-09 18:13:07.307030,4580,3487,-8189,14723,-4009,14719,-5324,13930,-7470,5507,2423,5818
2017-03-09 18:13:07.311692,1590,3487,-1516,14723,2372,14719,7407,13930,-1197,5507,-4355,5818
2017-03-09 18:13:07.317477,1590,3487,-1516,14723,2372,14719,7407,13930,-1197,5507,-4355,5818
2017-03-09 18:13:07.321454,1590,3487,-1516,14723,2372,14719,7407,13930,-1197,5507,-4355,5818
2017-03-09 18:13:07.328086,1590,3487,-1516,14723,2372,14719,7407,13930,-1197,5507,-4355,5818
2017-03-09 18:13:07.338500,1590,3487,-1516,14723,2372,14719,7407,13930,-1197,5507,-4355,5818
2017-03-09 18:13:07.361477,1590,3487,-1516,14723,2372,14719,7407,13930,-1197,5507,-4355,5818
2017-03-09 18:13:07.370532,1590,3487,-1516,14723,2372,14719,7407,13930,-1197,5507,-4355,5818
2017-03-09 18:13:07.381443,1590,3487,-1516,14723,2372,14719,7407,13930,-1197,5507,-4355,5818
2017-03-09 18:13:07.397134,2403,3487,-3112,14723,-6722,14719,3501,13930,1493,5507,5078,5818
2017-03-09 18:13:07.402627,2403,3487,-3112,14723,-6722,14719,3501,13930,1493,5507,5078,5818
2017-03-09 18:13:07.409769,2403,3487,-3112,14723,-6722,14719,3501,13930,1493,5507,5078,5818
2017-03-09 18:13:07.429590,2403,3487,-3112,14723,-6722,14719,3501,13930,1493,5507,5078,5818
2017-03-09 18:13:07.434713,2403,3487,-3112,14723,-6722,14719,3501,13930,1493,5507,5078,5818
2017-03-09 18:13:07.445697,2403,3487,-3112,14723,-6722,14719,3501,13930,1493,5507,5078,5818
2017-03-09 18:13:07.449654,-103,3487,-3993,14723,-5279,14719,-3055,13930,-4086,5507,-706,5818
2017-03-09 18:13:07.460859,-103,3487,-3993,14723,-5279,14719,-3055,13930,-4086,5507,-706,5818
2017-03-09 18:13:07.461741,-103,3487,-3993,14723,-5279,14719,-3055,13930,-4086,5507,-706,5818
2017-03-09 18:13:07.468388,-4332,3487,1106,14723,-6467,14719,-144,13930,-5501,5507,-5307,5818
2017-03-09 18:13:07.478546,-4332,3487,1106,14723,-6467,14719,-144,13930,-5501,5507,-5307,5818
2017-03-09 18:13:07.489317,-4332,3487,1106,14723,-6467,14719,-144,13930,-5501,5507,-5307,5818
2017-03-09 18:13:07.498386,-813,3487,-4553,14723,-7668,14719,-5701,13930,3200,5507,-3417,5818
2017-03-09 18:13:07.507809,-813,3487,-4553,14723,-7668,14719,-5701,13930,3200,5507,-3417,5818
2017-03-09 18:13:07.515609,-3338,3487,-4714,14723,-6800,14719,6486,13930,8171,5507,5906,5818
2017-03-09 18:13:07.527661,-3338,3487,-4714,14723,-6800,14719,6486,13930,8171,5507,5906,5818
2017-03-09 18:13:07.539913,376,3487,-4799,14723,-5246,10406,-7606,13930,7733,5507,2516,5818
2017-03-09 18:13:07.544072,376,3487,-4799,14723,-5246,10406,-7606,13930,7733,5507,2516,5818
2017-03-09 18:13:07.560276,376,3487,-4799,14723,-5246,10406,-7606,13930,7733,5507,2516,5818
2017-03-09 18:13:07.573690,376,3487,-4799,14723,-5246,10406,-7606,13930,7733,5507,2516,5818
2017-03-09 18:13:07.582451,376,3487,-4799,14723,-5246,10406,-7606,13930,7733,5507,2516,5818
2017-03-09 18:13:07.587984,-3088,3487,3995,15841,-2927,10406,-480,13930,5410,5507,4246,5818
2017-03-09 18:13:07.603069,-3088,3487,3995,15841,-2927,10406,-480,13930,5410,5507,4246,5818
2017-03-09 18:13:07.613471,-3088,3487,3995,15841,-2927,10406,-480,13930,5410,5507,4246,5818
2017-03-09 18:13:07.624905,-3088,3487,3995,15841,-2927,10406,-480,13930,5410,5507,4246,5818
2017-03-09 18:13:07.625596,-3088,3487,3995,15841,-2927,10406,-480,13930,5410,5507,4246,5818
2017-03-09 18:13:07.641069,2252,3487,459,15841,-7069,10406,7796,13930,-7720,5507,-3546,5818
2017-03-09 18:13:07.663199,2252,3487,459,15841,-7069,10406,7796,13930,-7720,5507,-3546,5818
2017-03-09 18:13:07.663361,2252,3487,459,15841,-7069,10406,7796,13930,-7720,5507,-3546,5818
2017-03-09 18:13:07.688957,315,3487,-5381,15841,-8163,10406,-7142,13930,-7430,5507,6434,5818
2017-03-09 18:13:07.706951,315,3487,-5381,15841,-8163,10406,-7142,13930,-7430,5507,6434,5818
2017-03-09 18:13:07.712799,6121,3487,1514,15841,-5178,10406,3535,13930,7664,5507,-4053,5818
2017-03-09 18:13:07.723845,6121,3487,1514,15841,-5178,10406,3535,13930,7664,5507,-4053,5818
2017-03-09 18:13:07.729888,-1339,3487,-6378,15841,6448,10406,-6133,13930,1243,5507,-5938,5917
2017-03-09 18:13:07.734769,-1339,3487,-6378,15841,6448,10406,-6133,13930,1243,5507,-5938,5917
2017-03-09 18:13:07.750131,-1680,3487,-924,15841,7152,10406,4012,13930,3383,5507,2086,5917
2017-03-09 18:13:07.762988,-7481,3487,1965,15841,-299,10406,-3892,13930,-3831,5507,1096,5917
2017-03-09 18:13:07.772250,-7481,3487,1965,15841,-299,10406,-3892,13930,-3831,5507,1096,5917
2017-03-09 18:13:07.777034,-7481,3487,1965,15841,-299,10406,-3892,13930,-3831,5507,1096,5917
2017-03-09 18:13:07.783801,-4711,3487,-6287,15841,-2392,10406,5402,13930,1609,5507,343,5917
2017-03-09 18:13:07.792541,-4711,3487,-6287,15841,-2392,10406,5402,13930,1609,5507,343,5917
2017-03-09 18:13:07.816082,-858,3487,-2587,15841,2116,10406,7951,13930,434,5507,3235,5917
2017-03-09 18:13:07.839033,5719,3487,-4457,15841,5056,10406,2501,13930,-1600,5507,-1282,5917
2017-03-09 18:13:07.839212,5719,3487,-4457,15841,5056,10406,2501,13930,-1600,5507,-1282,5917
2017-03-09 18:13:07.846333,-7944,3487,-4968,15841,-92,10406,6179,13930,2096,5507,6783,5917
2017-03-09 18:13:07.859450,-7944,3487,-4968,15841,-92,10406,6179,13930,2096,5507,6783,5917
2017-03-09 18:13:07.866345,-7944,3487,-4968,15841,-92,10406,6179,13930,2096,5507,6783,5917
2017-03-09 18:13:07.878603,-7944,3487,-4968,15841,-92,10406,6179,13930,2096,5507,6783,5917
2017-03-09 18:13:07.894367,-7944,3487,-4968,15841,-92,10406,6179,13930,2096,5507,6783,5917
2017-03-09 18:13:07.915384,-3385,3487,-6766,15841,5007,10406,3986,13930,-3930,5507,4133,5917
2017-03-09 18:13:07.919781,-3385,3487,-6766,15841,5007,10406,3986,13930,-3930,5507,4133,5917
2017-03-09 18:13:07.925126,-3385,3487,-6766,15841,5007,10406,3986,13930,-3930,5507,4133,5917
2017-03-09 18:13:07.944059,8039,3487,-7636,15841,6171,10406,-789,13930,4457,5507,-195,5917
2017-03-09 18:13:07.958029,-908,3487,4637,15841,3447,10406,-5804,13930,1670,5507,2646,5917
2017-03-09 18:13:07.965471,3849,3487,-6015,15841,3310,10406,-5183,13930,-6591,5507,1555,5917
2017-03-09 18:13:07.973839,3849,3487,-6015,15841,3310,10406,-5183,13930,-6591,5507,1555,5917
2017-03-09 18:13:07.994756,3849,3487,-6015,15841,3310,10406,-5183,13930,-6591,5507,1555,5917
2017-03-09 18:13:08.015878,-7110,3487,-5956,15841,-5614,10406,-5812,13930,-5624,5507,-1282,5917
2017-03-09 18:13:08.016816,-7110,3487,-5956,15841,-5614,10406,-5812,13930,-5624,5507,-1282,5917
2017-03-09 18:13:08.023767,-7110,3487,-5956,15841,-5614,10406,-5812,13930,-5624,5507,-1282,5917
2017-03-09 18:13:08.028535,-7110,3487,-5956,15841,-5614,10406,-5812,13930,-5624,5507,-1282,5917
2017-03-09 18:13:08.035091,-3466,3487,7657,8266,5298,10406,6155,13930,1170,5507,6526,5917
